name	group	first_activity	last_activity	api_requests	bash:doctor	bash:gh	bash:git:fetch	bash:git:mutate	bash:git:push	bash:git:read	bash:script	bash:shell:other	bash:shell:read	bash:syntax-check	bash:test:full	bash:test:targeted	bash_bytes	bash_calls	edit_calls	edit_outside_repo	edit_unique_files	gh_from_scripts_lower_bound	gh_head_dependent_fetches	gh_invocations_lower_bound	gh_other_fetches	gh_repeated_endpoints	gh_stable_fact_fetches	gh_unique_endpoints	paths_all_repeated	paths_all_unique	read_bytes	read_calls	read_repeated	read_repo_bytes	read_repo_calls	read_task_output_bytes	read_task_output_calls	read_tool_repeated	read_tool_unique_paths	read_unique_files	result_bytes	shell_read_bytes	subagents	tok_cache_create	tok_cache_read	tok_input	tok_output	tool_calls
B r1 e5a8c87 CHANGES REQUIRED	B	2026-09-05T15:33:53.775Z	2026-09-05T17:22:07.712Z	104	0	29	3	3	3	1	8	5	5	1	3	7	47263	68	7	0	3	5	4	45	25	22	16	23	3	9	13287	9	3	6579	2	6708	7	1	8	9	63543	7128	0	361333	33799884	208	86391	95
B r2 e2ca402 CHANGES REQUIRED	B	2026-09-05T17:22:13.132Z	2026-09-05T17:32:23.697Z	18	0	1	0	0	1	0	1	0	1	0	1	5	2779	10	4	0	2	0	1	1	0	0	0	1	0	2	433	2	0	0	0	433	2	0	2	2	4004	46	0	15842	7217283	36	13780	16
B r3 38f7188 CHANGES REQUIRED	B	2026-09-05T17:32:30.852Z	2026-09-05T17:41:39.149Z	16	0	1	0	0	0	0	1	0	1	0	1	3	2473	7	3	0	2	1	2	2	0	1	0	1	0	2	426	2	0	0	0	426	2	0	2	2	3639	46	0	13382	6637752	32	10745	13
B r4 ff7a8ce CHANGES REQUIRED	B	2026-09-05T17:41:45.184Z	2026-09-05T17:51:03.729Z	22	1	2	0	0	0	1	1	1	1	0	1	5	4149	13	2	0	1	1	2	3	1	1	0	2	0	3	498	3	0	0	0	498	3	0	3	3	5488	46	0	440186	9033218	44	9904	21
B r5 a6dfde1 CHANGES REQUIRED	B	2026-09-05T17:51:09.476Z	2026-09-05T17:59:49.038Z	23	0	4	0	0	2	0	2	1	2	0	1	2	3868	14	2	0	1	1	3	7	4	4	0	3	0	1	158	1	0	0	0	158	1	0	1	1	5022	477	0	15782	10234156	46	11028	21
B r6 67743e4 CHANGES REQUIRED	B	2026-09-05T17:59:59.295Z	2026-09-05T18:13:00.642Z	40	0	5	0	0	1	0	2	5	2	0	1	3	5587	19	3	1	3	1	2	9	6	1	1	8	3	6	5094	9	3	0	0	824	7	3	6	6	12014	755	0	35232	18967820	80	22860	36
B r7 cecbb5c CHANGES REQUIRED	B	2026-09-05T18:13:19.852Z	2026-09-05T18:22:30.460Z	21	0	3	0	0	0	0	1	1	2	0	1	3	4228	11	3	0	2	1	2	4	2	1	0	3	1	3	406	2	1	0	0	406	2	0	2	3	5717	1561	0	15267	10448455	42	11709	19
B r8 4c805d6 CHANGES REQUIRED	B	2026-09-05T18:22:42.447Z	2026-09-05T18:33:32.634Z	51	0	5	0	0	1	0	4	5	1	0	2	0	9560	18	6	0	1	1	4	6	2	3	0	3	9	7	2949	16	9	0	0	2949	16	9	7	7	14691	259	0	30933	26628637	102	19036	46
B r9 4a7b366 CHANGES REQUIRED	B	2026-09-05T18:33:48.184Z	2026-09-05T18:42:27.059Z	55	0	5	0	0	0	1	3	5	3	0	5	2	20144	24	5	0	1	2	2	6	4	3	0	3	8	7	5655	15	8	4857	3	798	12	8	7	7	27611	454	0	37677	30758334	110	20695	49
B r10 0db6fa6 CHANGES REQUIRED	B	2026-09-05T18:42:40.287Z	2026-09-05T18:53:58.151Z	55	0	3	0	0	0	2	2	7	6	0	3	11	10155	34	3	0	2	1	2	4	2	1	0	3	4	7	813	9	4	0	0	813	9	3	6	7	12002	1361	0	38887	32884678	110	23475	49
B r11 6cc4d1f CHANGES REQUIRED	B	2026-09-05T18:54:11.758Z	2026-09-05T19:03:07.620Z	26	0	3	0	0	1	0	1	3	1	1	1	0	4871	11	4	0	2	0	2	4	2	1	0	3	3	3	1008	6	3	502	1	506	5	3	3	3	7377	78	0	16900	16189920	52	10611	22
B r12 e263f60 CHANGES REQUIRED	B	2026-09-05T19:03:21.011Z	2026-09-05T19:13:13.359Z	29	1	4	0	0	1	0	0	1	3	1	1	5	8233	17	5	0	3	0	2	4	2	2	0	2	1	3	332	3	1	0	0	332	3	1	2	3	9720	597	0	20539	18618171	58	13528	25
B r13 ebea342 CHANGES REQUIRED	B	2026-09-05T19:13:25.871Z	2026-09-05T19:22:06.379Z	18	1	2	0	0	0	0	0	1	2	1	1	2	4090	10	4	0	2	0	2	2	0	1	0	1	0	3	245	2	0	0	0	245	2	0	2	3	5115	461	0	12770	11875905	36	8480	16
B r14 568d6d7 CHANGES REQUIRED	B	2026-09-05T19:22:18.843Z	2026-09-05T19:31:17.558Z	18	1	2	0	0	1	0	0	1	1	1	1	0	3331	8	5	0	2	0	2	2	0	1	0	1	0	3	291	3	0	0	0	291	3	0	3	3	4611	78	0	11504	12098240	36	7631	16
B r15 b1a44d4 CHANGES REQUIRED	B	2026-09-05T19:31:31.412Z	2026-09-05T19:41:02.253Z	18	1	2	0	0	0	0	0	1	3	0	1	2	4312	10	3	0	3	0	2	2	0	1	0	1	0	2	245	2	0	0	0	245	2	0	2	2	5438	1368	0	11650	12317223	36	7760	16
B r16 c90da9e CHANGES REQUIRED	B	2026-09-05T19:41:14.417Z	2026-09-05T19:50:01.967Z	21	1	3	0	0	1	0	0	1	1	0	1	5	5295	13	2	0	1	0	2	3	1	1	0	2	2	2	419	4	2	0	0	419	4	2	2	2	6116	78	0	14754	14640280	42	9455	19
B r17 9787cf1 CHANGES REQUIRED	B	2026-09-05T19:50:15.037Z	2026-09-05T19:58:23.254Z	23	1	3	0	0	1	0	1	3	2	1	1	0	4022	13	3	0	1	0	2	3	1	1	0	2	1	3	332	3	1	0	0	332	3	1	2	3	5077	273	0	12465	16368626	46	8192	20
B r18 62b7746 CHANGES REQUIRED	B	2026-09-05T19:58:37.730Z	2026-09-05T20:06:42.065Z	23	1	3	0	0	1	0	0	2	3	1	1	0	5669	12	5	0	2	0	2	3	1	1	0	2	2	4	332	3	2	0	0	332	3	1	2	4	6978	1186	0	19004	16712218	46	9446	20
B r19 688a306 CHANGES REQUIRED	B	2026-09-05T20:06:55.646Z	2026-09-05T20:15:53.529Z	26	1	2	0	0	0	0	0	3	2	1	2	2	4114	13	5	0	3	0	2	2	0	1	0	1	2	5	506	5	2	0	0	506	5	2	3	5	5601	568	0	19070	19455079	52	10281	23
B r20 9c6665d CHANGES REQUIRED	B	2026-09-05T20:16:07.922Z	2026-09-05T20:24:12.230Z	18	2	2	0	0	1	0	0	2	2	1	1	0	3569	11	1	0	1	0	2	2	0	1	0	1	1	4	332	3	1	0	0	332	3	1	2	4	4094	334	0	16291	13759472	36	8098	15
B r21 475ff72 CHANGES REQUIRED	B	2026-09-05T20:24:18.233Z	2026-09-05T20:34:14.178Z	35	0	2	0	0	0	0	1	6	1	1	2	4	7733	17	9	0	3	0	2	3	1	0	0	3	2	4	716	6	2	0	0	716	6	2	4	4	10274	78	0	24681	27549529	70	12988	32
